timestamp,captcha_file,sent_string,method,conf_score,success,notes
2025-08-25 15:01:57,attempts\captcha_images\captcha_1756123313755.png,1,tesseract,74.0,False,error_present
2025-08-25 15:02:04,attempts\captcha_images\captcha_1756123320946.png,4,tesseract,0.0,False,error_present
2025-08-25 15:02:11,attempts\captcha_images\captcha_1756123327929.png,3723,tesseract,78.0,True,
2025-08-25 15:02:17,attempts\captcha_images\captcha_1756123334680.png,3329,tesseract,46.0,True,
2025-08-25 15:02:23,attempts\captcha_images\captcha_1756123340908.png,,tesseract,0.0,True,
2025-08-25 15:02:30,attempts\captcha_images\captcha_1756123346898.png,5273,tesseract,39.0,False,error_present
2025-08-25 15:02:37,attempts\captcha_images\captcha_1756123354174.png,9896,tesseract,0.0,True,
2025-08-25 15:02:44,attempts\captcha_images\captcha_1756123361213.png,5558,tesseract,19.0,True,
2025-08-25 15:02:50,attempts\captcha_images\captcha_1756123367637.png,,tesseract,0.0,True,
2025-08-25 15:02:56,attempts\captcha_images\captcha_1756123373466.png,1,tesseract,37.0,False,error_present
2025-08-25 15:03:04,attempts\captcha_images\captcha_1756123380242.png,5832,tesseract,34.0,True,
2025-08-25 15:03:10,attempts\captcha_images\captcha_1756123387303.png,1,tesseract,74.0,False,error_present
2025-08-25 15:03:17,attempts\captcha_images\captcha_1756123394114.png,2993,tesseract,0.0,True,
2025-08-25 15:03:24,attempts\captcha_images\captcha_1756123400854.png,9505,tesseract,0.0,True,
2025-08-25 15:03:30,attempts\captcha_images\captcha_1756123407285.png,9837,tesseract,0.0,True,
2025-08-25 15:03:36,attempts\captcha_images\captcha_1756123413752.png,9743,tesseract,18.0,True,
2025-08-25 15:03:43,attempts\captcha_images\captcha_1756123420194.png,1,tesseract,74.0,False,error_present
2025-08-25 15:03:50,attempts\captcha_images\captcha_1756123426753.png,9859,tesseract,0.0,True,
2025-08-25 15:03:56,attempts\captcha_images\captcha_1756123433503.png,5236,tesseract,17.0,False,error_present
2025-08-25 15:04:03,attempts\captcha_images\captcha_1756123440378.png,1,tesseract,73.0,False,error_present
2025-08-25 15:04:10,attempts\captcha_images\captcha_1756123447536.png,922,tesseract,0.0,False,error_present
2025-08-25 15:04:18,attempts\captcha_images\captcha_1756123454670.png,6686,tesseract,0.0,True,
2025-08-25 15:04:24,attempts\captcha_images\captcha_1756123461712.png,6389,tesseract,11.0,True,
2025-08-25 15:04:30,attempts\captcha_images\captcha_1756123468141.png,,tesseract,0.0,True,
2025-08-25 15:04:36,attempts\captcha_images\captcha_1756123473950.png,1,tesseract,74.0,False,error_present
2025-08-25 15:04:44,attempts\captcha_images\captcha_1756123480871.png,1,tesseract,37.0,False,error_present
2025-08-25 15:04:51,attempts\captcha_images\captcha_1756123487945.png,9689,tesseract,0.0,True,
2025-08-25 15:04:58,attempts\captcha_images\captcha_1756123494739.png,8622,tesseract,32.0,True,
2025-08-25 15:05:03,attempts\captcha_images\captcha_1756123501406.png,,tesseract,0.0,True,
2025-08-25 15:05:10,attempts\captcha_images\captcha_1756123507223.png,6000,tesseract,11.0,True,
2025-08-25 15:05:17,attempts\captcha_images\captcha_1756123513777.png,2764,tesseract,0.0,False,error_present
2025-08-25 15:05:23,attempts\captcha_images\captcha_1756123521098.png,,tesseract,0.0,False,error_present
2025-08-25 15:05:31,attempts\captcha_images\captcha_1756123527586.png,2605,tesseract,0.0,True,
2025-08-25 15:05:37,attempts\captcha_images\captcha_1756123534377.png,1622,tesseract,60.0,True,
2025-08-25 15:05:43,attempts\captcha_images\captcha_1756123540809.png,9207,tesseract,36.0,False,error_present
2025-08-25 15:05:51,attempts\captcha_images\captcha_1756123547717.png,1,tesseract,74.0,False,error_present
2025-08-25 15:05:58,attempts\captcha_images\captcha_1756123554797.png,6245,tesseract,65.0,True,
2025-08-25 15:06:04,attempts\captcha_images\captcha_1756123561677.png,,tesseract,0.0,True,
2025-08-25 15:06:10,attempts\captcha_images\captcha_1756123567457.png,7,tesseract,0.0,False,error_present
2025-08-25 15:06:17,attempts\captcha_images\captcha_1756123574330.png,1,tesseract,74.0,False,error_present
2025-08-25 15:06:24,attempts\captcha_images\captcha_1756123581180.png,6327,tesseract,0.0,True,
2025-08-25 15:06:30,attempts\captcha_images\captcha_1756123587935.png,,tesseract,0.0,True,
2025-08-25 15:06:36,attempts\captcha_images\captcha_1756123593482.png,7562,tesseract,13.0,True,
2025-08-25 15:06:43,attempts\captcha_images\captcha_1756123599895.png,3609,tesseract,0.0,True,
2025-08-25 15:06:49,attempts\captcha_images\captcha_1756123606409.png,7242,tesseract,63.0,False,error_present
2025-08-25 15:06:56,attempts\captcha_images\captcha_1756123613339.png,6332,tesseract,0.0,True,
2025-08-25 15:07:02,attempts\captcha_images\captcha_1756123620090.png,4,tesseract,0.0,False,error_present
2025-08-25 15:07:09,attempts\captcha_images\captcha_1756123626625.png,1,tesseract,74.0,False,error_present
2025-08-25 15:07:16,attempts\captcha_images\captcha_1756123633466.png,7339,tesseract,10.0,True,
2025-08-25 15:07:23,attempts\captcha_images\captcha_1756123640273.png,6986,tesseract,50.0,False,error_present
2025-08-25 15:07:30,attempts\captcha_images\captcha_1756123647147.png,8482,tesseract,17.0,True,
2025-08-25 15:07:36,attempts\captcha_images\captcha_1756123653882.png,,tesseract,0.0,True,
2025-08-25 15:07:42,attempts\captcha_images\captcha_1756123659644.png,1,tesseract,37.0,False,error_present
2025-08-25 15:07:49,attempts\captcha_images\captcha_1756123666946.png,,tesseract,0.0,False,error_present
2025-08-25 15:07:57,attempts\captcha_images\captcha_1756123673648.png,4383,tesseract,29.0,True,
2025-08-25 15:08:03,attempts\captcha_images\captcha_1756123680664.png,3780,tesseract,8.0,True,
2025-08-25 15:08:10,attempts\captcha_images\captcha_1756123687047.png,3393,tesseract,0.0,True,
2025-08-25 15:08:16,attempts\captcha_images\captcha_1756123693497.png,8569,tesseract,0.0,True,
2025-08-25 15:08:23,attempts\captcha_images\captcha_1756123699900.png,4345,tesseract,34.0,False,error_present
2025-08-25 15:08:30,attempts\captcha_images\captcha_1756123707406.png,,tesseract,0.0,False,error_present
2025-08-25 15:08:37,attempts\captcha_images\captcha_1756123713934.png,722,tesseract,0.0,False,error_present
2025-08-25 15:08:44,attempts\captcha_images\captcha_1756123721621.png,,tesseract,0.0,False,error_present
2025-08-25 15:08:53,attempts\captcha_images\captcha_1756123730027.png,5683,tesseract,15.0,True,
2025-08-25 15:08:59,attempts\captcha_images\captcha_1756123736729.png,3339,tesseract,47.0,True,
2025-08-25 15:09:06,attempts\captcha_images\captcha_1756123743164.png,1236,tesseract,31.0,True,
2025-08-25 15:09:13,attempts\captcha_images\captcha_1756123749623.png,8899,tesseract,6.0,True,
2025-08-25 15:09:19,attempts\captcha_images\captcha_1756123756367.png,4652,tesseract,75.0,True,
2025-08-25 15:09:26,attempts\captcha_images\captcha_1756123762876.png,2465,tesseract,0.0,True,
